iter	Passed	Remaining
0	0	88
1	1	78
2	2	72
3	2	66
4	3	66
5	4	66
6	4	66
7	5	67
8	6	67
9	7	67
10	8	67
11	9	66
12	9	66
13	10	66
14	11	65
15	12	65
16	13	64
17	14	64
18	14	63
19	15	62
20	16	61
21	17	61
22	18	61
23	19	60
24	19	59
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	54
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	41
47	37	40
48	38	39
49	39	39
50	40	38
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	22
72	59	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	66	16
80	67	15
81	68	14
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
